,city_id,avg_fare,avg_distance,city_name
0,AP01,282.6722837199464,22.55393781287457,Visakhapatnam
1,CH01,283.68695005258974,23.518714245401608,Chandigarh
2,GJ01,117.27292453002207,10.997246685994567,Surat
3,GJ02,118.56616499094486,11.51773558983326,Vadodara
4,KA01,249.70716837048897,16.496920803054564,Mysore
5,KL01,335.24507908958225,24.065460928562977,Kochi
6,MP01,179.83860938383268,16.502473148671566,Indore
7,RJ01,483.9181276662158,30.023124544792424,Jaipur
8,TN01,166.98218347232753,14.979198256254739,Coimbatore
9,UP01,147.18037605561517,12.512962876561065,Lucknow
